name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,1000,301.29ms,229.75us,2.60us,230.02us,4.15us,224.93us,265.25us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,899232,1000,100.50ms,51.31us,424.00ns,51.85us,1.98us,49.92us,80.06us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,899232,1000,150.58ms,90.40us,1.41us,90.67us,2.70us,86.95us,121.63us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,899232,1000,200.63ms,134.12us,240.00ns,135.30us,2.39us,133.44us,158.66us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,1570556,1000,251.26ms,136.18us,1.31us,138.08us,4.67us,133.38us,179.85us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,1570556,1000,401.09ms,332.04us,4.33us,332.14us,6.14us,323.30us,364.49us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,1570556,1000,201.62ms,156.35us,1.04us,158.38us,3.92us,154.52us,191.46us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,1570556,1000,351.11ms,289.54us,4.99us,289.47us,7.69us,282.82us,438.75us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,1000,602.11ms,465.86us,5.08us,467.63us,9.20us,447.13us,553.14us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,899232,1000,150.60ms,99.52us,1.86us,99.96us,3.21us,95.95us,138.93us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,899232,252,751.52ms,1.99ms,5.54us,1.99ms,11.70us,1.97ms,2.08ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,899232,1000,501.63ms,442.01us,1.96us,442.63us,6.05us,434.39us,542.58us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,1570556,962,802.14ms,518.09us,2.74us,519.23us,6.40us,505.24us,550.78us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2026-08-25,,1570556,837,601.76ms,594.00us,3.92us,597.87us,15.46us,582.55us,846.85us
